Datum tenaamstelling,Brandstof omschrijving,Kenteken
1983-09-15,Benzine,77
1983-09-16,Benzine,78
1983-09-28,Benzine,79
1983-10-14,Benzine,80
1983-10-21,Benzine,81
1983-11-15,Benzine,82
1983-12-13,Benzine,83
1984-01-17,Benzine,84
1984-02-15,Benzine,85
1984-04-05,Benzine,86
1984-05-02,Benzine,87
1984-05-19,Benzine,88
1984-05-21,Benzine,89
1984-05-25,Benzine,91
1984-06-20,Benzine,92
1984-08-30,Benzine,93
1984-08-31,LPG,3
1984-09-18,Benzine,94
1984-09-25,Benzine,95
1984-09-28,Benzine,96
1984-10-24,Benzine,97
1984-10-25,Benzine,98
1984-11-08,Benzine,99
1984-11-21,Benzine,100
1984-12-04,Benzine,101
1985-01-04,Benzine,102
1985-02-23,Benzine,103
1985-03-02,Benzine,104
1985-03-29,Benzine,105
1985-04-05,Benzine,106
1985-04-13,Benzine,107
1985-04-17,Benzine,108
1985-04-22,Benzine,109
1985-04-26,Benzine,110
1985-05-15,Benzine,111
1985-05-17,Diesel,1
1985-05-23,Benzine,112
1985-05-24,Benzine,113
1985-05-28,Benzine,114
1985-06-20,Benzine,115
1985-07-12,Benzine,116
1985-08-06,Benzine,117
1985-08-26,Benzine,118
1985-09-11,Benzine,119
1985-10-10,Benzine,120
1985-10-17,LPG,4
1985-10-30,Diesel,2
1985-11-06,Benzine,121
1985-11-19,Benzine,122
1985-12-16,Benzine,123
1985-12-23,Benzine,124
1985-12-24,LPG,5
1986-01-20,Benzine,125
1986-01-21,Benzine,126
1986-02-04,Benzine,127
1986-02-14,Benzine,128
1986-02-18,Benzine,129
1986-03-11,Benzine,130
1986-03-21,Benzine,131
1986-04-29,Benzine,133
1986-05-09,Benzine,134
1986-05-13,Benzine,135
1986-05-22,Benzine,136
1986-06-09,Benzine,137
1986-06-13,Diesel,3
1986-06-20,Benzine,138
1986-06-27,Benzine,139
1986-07-07,Benzine,140
1986-07-09,Benzine,141
