Datum tenaamstelling,Brandstof omschrijving,Kenteken
1983-05-11,Benzine,231
1983-05-13,Benzine,233
1983-05-16,Benzine,234
1983-05-17,Benzine,235
1983-05-19,Benzine,236
1983-05-20,Benzine,238
1983-05-21,Benzine,239
1983-06-13,Benzine,240
1983-06-21,Benzine,241
1983-06-23,Benzine,242
1983-06-24,Benzine,243
1983-06-27,Benzine,244
1983-07-01,Benzine,245
1983-07-05,Benzine,246
1983-07-06,Benzine,247
1983-07-07,Benzine,248
1983-07-14,Benzine,249
1983-07-19,Benzine,250
1983-07-21,Benzine,251
1983-07-28,Benzine,252
1983-08-01,Benzine,253
1983-08-11,Benzine,255
1983-08-16,Benzine,256
1983-08-17,Benzine,257
1983-08-25,Benzine,258
1983-08-26,Diesel,3
1983-08-31,Benzine,259
1983-09-16,Benzine,260
1983-09-22,Diesel,4
1983-09-28,Benzine,261
1983-10-07,Benzine,262
1983-10-08,Benzine,263
1983-10-11,Benzine,264
1983-10-24,Benzine,265
1983-10-26,Benzine,266
1983-11-01,Benzine,267
1983-11-04,Benzine,268
1983-11-21,Benzine,269
1983-12-07,Benzine,270
1983-12-22,Benzine,271
1983-12-30,Benzine,272
1984-01-06,Benzine,274
1984-01-09,Benzine,275
1984-01-10,Diesel,5
1984-01-13,Benzine,276
1984-02-07,Benzine,277
1984-03-14,Benzine,278
1984-03-19,Benzine,279
1984-04-03,Benzine,281
1984-04-05,Benzine,282
1984-04-19,Benzine,283
1984-04-27,Benzine,284
1984-05-03,Benzine,285
1984-05-14,Benzine,286
1984-05-18,Benzine,287
1984-05-24,Benzine,288
1984-05-29,Benzine,289
1984-05-30,Benzine,290
1984-06-06,Benzine,291
1984-06-15,Benzine,292
1984-06-29,Benzine,293
1984-07-02,Benzine,294
1984-07-04,Benzine,295
1984-07-10,Benzine,296
1984-07-13,Benzine,298
1984-07-17,Benzine,299
1984-07-20,Benzine,300
1984-08-03,Benzine,301
1984-08-06,Benzine,302
1984-08-09,Benzine,303
1984-08-13,Benzine,304
1984-08-27,Benzine,305
1984-09-19,Benzine,306
1984-09-21,Benzine,307
1984-10-02,Benzine,308
1984-10-18,Benzine,309
1984-10-19,Benzine,310
1984-10-25,Benzine,311
1984-10-26,Benzine,313
1984-11-12,Benzine,314
1984-11-13,Benzine,315
1984-11-20,Benzine,317
1984-11-22,Benzine,318
1984-11-29,Benzine,319
1984-12-04,Benzine,320
1984-12-13,Benzine,321
1984-12-19,Benzine,322
1984-12-27,Benzine,323
1985-01-10,Benzine,324
1985-01-11,Benzine,325
1985-01-29,Benzine,326
1985-02-05,Benzine,327
1985-02-15,Benzine,328
1985-02-22,Benzine,329
1985-03-26,Benzine,330
1985-04-04,Benzine,331
1985-04-16,Benzine,332
1985-04-22,Benzine,333
1985-04-24,Benzine,335
1985-05-01,Benzine,336
1985-05-10,Benzine,337
1985-05-23,Benzine,339
1985-06-07,Benzine,340
1985-06-21,Benzine,341
1985-06-24,Benzine,342
1985-06-25,Benzine,343
1985-07-01,Benzine,344
1985-07-09,Benzine,346
1985-07-16,Benzine,348
1985-07-19,Benzine,349
1985-07-20,Benzine,350
1985-08-09,Benzine,351
1985-08-17,Benzine,352
1985-08-19,Benzine,353
1985-08-20,Benzine,354
1985-08-21,Benzine,355
1985-09-05,Benzine,356
1985-09-09,Benzine,357
1985-09-23,Benzine,359
1985-09-24,Benzine,360
1985-10-01,Benzine,361
1985-10-04,Benzine,362
1985-10-10,Benzine,363
1985-10-11,Benzine,364
1985-10-12,Benzine,365
1985-10-14,Benzine,366
1985-10-24,Benzine,367
1985-10-29,Benzine,368
1985-11-14,Benzine,369
1985-11-15,Benzine,371
1985-11-30,Benzine,372
1985-12-04,Benzine,373
1985-12-11,Benzine,374
1985-12-12,Benzine,375
1985-12-20,Benzine,376
1986-01-06,Benzine,377
1986-01-14,Diesel,6
1986-01-18,Benzine,378
1986-01-22,Benzine,379
1986-01-24,Benzine,380
1986-01-27,Benzine,381
1986-02-03,Benzine,382
1986-02-06,Benzine,383
1986-02-17,Benzine,385
1986-02-21,Benzine,387
1986-03-14,Benzine,388
1986-03-19,Benzine,389
1986-03-21,Benzine,390
1986-03-25,Benzine,391
1986-03-26,Benzine,392
1986-04-02,Benzine,393
1986-04-07,Benzine,394
1986-04-09,Benzine,395
1986-04-16,Benzine,397
1986-04-18,Benzine,398
1986-04-23,Benzine,399
1986-05-01,Benzine,400
1986-05-02,Benzine,401
1986-05-07,Benzine,402
1986-05-27,Benzine,403
1986-05-31,Benzine,404
1986-06-06,Benzine,405
1986-06-10,Benzine,406
1986-06-11,Benzine,407
1986-06-12,Benzine,408
1986-06-18,Benzine,409
1986-06-19,Diesel,7
1986-06-19,Benzine,410
1986-06-23,Benzine,411
1986-06-27,Benzine,414
1986-06-30,Benzine,415
1986-07-01,Benzine,416
1986-07-03,Benzine,417
1986-07-11,Diesel,8
1986-07-16,Benzine,418
1986-07-17,Benzine,419
1986-07-23,Benzine,420
1986-07-25,Benzine,421
1986-08-07,Benzine,422
1986-08-08,Benzine,423
1986-08-18,Benzine,424
1986-08-22,Benzine,425
1986-08-26,Benzine,426
1986-08-29,Benzine,427
1986-09-01,Benzine,428
1986-09-02,Benzine,429
1986-09-08,Benzine,430
1986-09-10,Benzine,431
1986-09-24,Benzine,432
1986-09-29,Benzine,433
1986-10-02,Benzine,434
1986-10-03,Benzine,435
1986-10-09,Benzine,436
1986-10-20,Benzine,437
1986-10-24,Benzine,438
1986-10-29,Benzine,439
1986-11-04,Benzine,440
1986-11-13,Benzine,442
1986-11-18,Benzine,443
1986-11-28,Benzine,444
1986-12-10,Diesel,9
1986-12-17,Benzine,446
1987-01-05,Benzine,447
1987-01-09,Benzine,448
1987-01-10,Benzine,449
1987-01-14,Benzine,450
1987-01-19,Benzine,451
1987-01-20,Benzine,452
1987-01-21,Benzine,454
1987-01-22,Benzine,455
1987-01-27,Benzine,456
1987-01-28,LPG,9
1987-02-09,Benzine,457
1987-02-14,Benzine,458
1987-02-18,Benzine,459
1987-03-03,Benzine,461
1987-03-04,Benzine,462
1987-03-05,LPG,10
1987-03-11,Benzine,463
1987-03-16,Benzine,466
1987-03-16,Diesel,10
1987-03-23,Benzine,467
1987-03-27,Benzine,469
1987-03-30,Benzine,470
1987-04-06,Benzine,471
1987-04-07,Benzine,472
1987-04-10,Benzine,473
1987-04-14,Benzine,475
1987-04-16,Benzine,476
1987-04-17,Benzine,477
1987-04-23,Benzine,478
1987-05-01,Benzine,480
1987-05-08,Benzine,482
1987-05-18,Benzine,483
1987-05-22,Benzine,484
1987-05-25,Benzine,485
1987-05-29,Benzine,486
1987-05-30,Benzine,487
1987-06-06,Benzine,488
1987-06-09,LPG,11
1987-06-10,Benzine,489
1987-06-11,Diesel,11
1987-06-15,Benzine,490
1987-06-17,Benzine,491
1987-06-18,Benzine,493
1987-06-19,Benzine,494
1987-06-24,Benzine,496
1987-06-26,Benzine,498
1987-06-27,Benzine,499
1987-06-29,Benzine,500
1987-07-10,Benzine,501
1987-07-14,Benzine,502
1987-07-15,Benzine,503
1987-07-20,Benzine,504
1987-07-27,Benzine,505
1987-07-31,Benzine,506
1987-08-21,Benzine,507
1987-08-28,Benzine,508
1987-08-31,Benzine,509
1987-09-02,Benzine,510
1987-09-03,Diesel,12
1987-09-04,Benzine,511
1987-09-10,Benzine,512
1987-09-11,Benzine,513
1987-09-21,Benzine,514
1987-09-24,Benzine,516
1987-10-01,Benzine,517
1987-10-03,Benzine,518
1987-10-06,Benzine,519
1987-10-07,Benzine,520
1987-10-14,LPG,12
1987-10-15,Benzine,521
1987-10-19,Benzine,522
1987-10-20,Benzine,523
1987-10-21,Diesel,13
1987-10-21,Benzine,524
1987-10-23,Benzine,527
1987-10-24,Benzine,528
1987-10-26,Benzine,529
1987-10-30,Benzine,530
1987-11-11,Benzine,532
1987-11-12,Benzine,533
1987-11-26,Benzine,534
1987-12-03,Diesel,14
1987-12-22,Benzine,535
1987-12-29,Benzine,536
1988-01-04,Benzine,538
1988-01-05,Benzine,539
1988-01-07,Benzine,541
1988-01-18,Benzine,542
1988-01-25,Benzine,543
1988-01-26,Benzine,545
1988-01-27,Benzine,546
1988-02-02,Benzine,547
1988-02-22,Benzine,549
1988-02-26,Benzine,550
1988-02-29,Benzine,551
1988-03-02,Benzine,552
1988-03-07,Benzine,555
1988-03-09,Benzine,556
1988-03-10,Benzine,558
1988-03-28,Benzine,559
1988-03-29,Benzine,560
1988-03-30,Benzine,561
1988-03-31,Benzine,562
1988-04-01,Benzine,563
1988-04-02,Benzine,564
1988-04-05,Benzine,566
1988-04-06,Benzine,567
1988-04-13,Benzine,568
1988-04-14,Benzine,570
1988-04-18,Benzine,571
1988-04-19,Benzine,572
1988-04-20,Benzine,573
1988-04-21,Benzine,574
1988-04-22,Benzine,575
1988-04-25,Benzine,576
1988-04-29,Benzine,577
1988-05-11,Benzine,580
1988-05-16,Benzine,581
1988-05-17,Benzine,582
1988-05-18,Benzine,583
1988-05-19,Benzine,584
1988-05-20,Benzine,585
1988-05-25,Benzine,586
1988-05-27,LPG,13
1988-05-27,Benzine,589
1988-06-03,Benzine,590
1988-06-04,Benzine,591
1988-06-06,Benzine,592
1988-06-10,LPG,14
1988-06-10,Benzine,593
1988-06-14,Benzine,594
1988-06-15,Benzine,595
1988-06-17,Benzine,596
1988-06-20,Benzine,597
1988-06-25,Benzine,598
1988-06-27,Benzine,599
1988-06-29,Benzine,600
1988-06-30,Benzine,602
1988-07-01,Benzine,603
1988-07-04,Benzine,604
1988-07-07,Benzine,606
1988-07-08,Benzine,607
1988-07-20,Benzine,608
1988-07-22,Benzine,609
1988-07-25,Benzine,610
1988-08-01,Benzine,611
1988-08-23,Benzine,612
1988-08-24,Benzine,613
1988-08-25,Benzine,614
1988-08-26,Benzine,617
1988-08-27,Benzine,618
1988-08-30,Benzine,619
1988-09-09,Benzine,620
1988-09-20,Benzine,621
1988-09-21,Benzine,623
1988-09-29,Benzine,624
1988-10-01,Benzine,625
1988-10-06,Benzine,627
1988-10-12,Benzine,628
1988-10-14,Benzine,629
1988-10-25,Benzine,631
1988-10-26,Benzine,632
1988-10-27,Benzine,633
1988-10-28,Benzine,634
1988-11-01,Benzine,635
1988-11-11,Benzine,636
1988-11-21,Benzine,637
1988-11-21,LPG,15
1988-11-29,Benzine,638
1988-12-01,Benzine,639
1988-12-05,Benzine,640
1988-12-06,Benzine,642
1988-12-12,Benzine,643
1988-12-19,Benzine,644
1989-01-05,Benzine,646
1989-01-06,Benzine,647
1989-01-10,Benzine,648
1989-01-13,Benzine,650
1989-01-18,Benzine,651
1989-01-26,Benzine,653
1989-01-27,Benzine,654
1989-01-30,Benzine,655
1989-02-01,Benzine,657
1989-02-07,Benzine,658
1989-02-08,Benzine,659
1989-02-13,Diesel,15
1989-02-22,Benzine,660
1989-03-03,Diesel,16
1989-03-09,Benzine,661
1989-03-10,Benzine,663
1989-03-13,Benzine,665
1989-03-17,Benzine,666
1989-03-21,Benzine,667
1989-03-30,Benzine,668
1989-04-01,Benzine,669
1989-04-03,Benzine,671
1989-04-06,Benzine,672
1989-04-07,Benzine,673
1989-04-08,Benzine,674
1989-04-10,Benzine,675
1989-04-11,Benzine,676
1989-04-19,Benzine,677
1989-04-24,Benzine,678
1989-04-26,Benzine,680
1989-04-28,Benzine,681
1989-05-02,Benzine,682
1989-05-05,Benzine,683
1989-05-06,Benzine,684
1989-05-10,Benzine,686
1989-05-12,Benzine,687
1989-05-18,Benzine,688
1989-05-24,Benzine,689
1989-05-26,Benzine,691
1989-05-27,Benzine,692
1989-05-29,Benzine,693
1989-05-30,Benzine,694
1989-06-05,Benzine,695
1989-06-10,Benzine,696
1989-06-15,Benzine,699
1989-06-17,Benzine,700
1989-06-19,Benzine,701
1989-06-20,Benzine,703
1989-06-22,Benzine,704
1989-06-24,Benzine,705
1989-06-30,Benzine,706
1989-07-01,Benzine,707
1989-07-10,Benzine,709
1989-07-11,Benzine,710
1989-07-18,Benzine,711
1989-07-21,Benzine,712
1989-07-25,Benzine,713
1989-07-28,Benzine,714
1989-07-29,Benzine,716
1989-07-31,Benzine,719
1989-08-02,Benzine,720
1989-08-11,Benzine,721
1989-08-17,Benzine,722
1989-08-18,Benzine,723
1989-08-19,Benzine,724
1989-08-21,Benzine,725
1989-08-22,Benzine,726
1989-08-25,Benzine,728
1989-08-26,Benzine,729
1989-08-30,Benzine,730
1989-09-01,Benzine,731
1989-09-02,Benzine,732
1989-09-15,Diesel,17
1989-09-21,Benzine,733
1989-09-22,Benzine,734
1989-10-04,Benzine,735
1989-10-05,Benzine,736
1989-10-06,Benzine,738
1989-10-07,Benzine,740
1989-10-10,Diesel,18
1989-10-16,Benzine,741
1989-10-17,Benzine,742
1989-10-20,LPG,16
1989-10-27,Benzine,744
1989-10-31,Benzine,745
1989-11-02,Benzine,746
1989-11-08,Benzine,747
1989-11-09,Benzine,750
1989-11-15,Benzine,751
1989-11-18,Benzine,752
1989-11-20,Benzine,753
1989-11-22,Benzine,755
1989-11-25,Benzine,756
1989-12-04,Benzine,757
1989-12-06,Benzine,761
1989-12-07,Benzine,762
1989-12-09,Benzine,763
1989-12-14,Benzine,764
1989-12-18,Benzine,765
1989-12-19,Benzine,766
1989-12-28,Benzine,768
1989-12-30,Benzine,769
1990-01-02,Benzine,771
1990-01-04,Diesel,19
1990-01-05,Benzine,774
1990-01-17,LPG,17
1990-01-22,Benzine,775
1990-01-26,Benzine,776
1990-01-30,Benzine,777
1990-01-31,Benzine,784
1990-02-02,Benzine,785
1990-02-05,Benzine,787
1990-02-09,Benzine,788
1990-02-09,LPG,18
1990-02-10,Benzine,789
1990-02-12,Benzine,790
1990-02-13,Benzine,791
1990-02-14,Benzine,792
1990-02-15,Benzine,793
1990-02-16,Benzine,794
1990-02-20,Benzine,795
1990-02-28,Benzine,799
1990-03-06,Benzine,800
1990-03-13,Benzine,802
1990-03-16,Benzine,803
1990-03-17,LPG,19
1990-03-19,Benzine,804
1990-03-21,Benzine,805
1990-03-27,Benzine,806
1990-03-28,Diesel,20
1990-03-28,Benzine,815
1990-03-30,Benzine,816
1990-03-31,Benzine,817
1990-04-03,Benzine,818
1990-04-04,Benzine,819
1990-04-05,Benzine,820
1990-04-09,Benzine,821
1990-04-10,Benzine,823
1990-04-12,Benzine,825
1990-04-18,Benzine,826
1990-04-23,Benzine,827
1990-04-24,Benzine,828
1990-04-25,Benzine,832
1990-04-26,Benzine,833
1990-04-27,Benzine,834
1990-05-01,Benzine,835
1990-05-07,Benzine,836
1990-05-08,Benzine,837
1990-05-09,Diesel,21
1990-05-11,Benzine,838
1990-05-18,Benzine,840
1990-05-22,Benzine,842
1990-05-23,Benzine,843
1990-05-25,Benzine,844
1990-05-28,Benzine,845
1990-05-30,Benzine,846
1990-05-31,Diesel,22
1990-05-31,Benzine,847
1990-06-01,Benzine,848
1990-06-02,Benzine,849
1990-06-06,Benzine,851
1990-06-07,Benzine,852
1990-06-08,Benzine,853
1990-06-13,Benzine,855
1990-06-16,Diesel,23
1990-06-21,Benzine,856
1990-06-25,Benzine,859
1990-06-26,Benzine,860
1990-06-27,Benzine,861
1990-06-29,Benzine,862
1990-07-02,LPG,20
1990-07-03,Benzine,863
1990-07-06,Benzine,864
1990-07-07,Benzine,865
1990-07-11,Benzine,866
1990-07-12,Benzine,867
1990-07-13,Benzine,868
1990-07-14,Benzine,869
1990-07-23,Benzine,870
1990-07-27,Benzine,871
1990-07-30,Benzine,872
1990-08-03,Benzine,873
1990-08-06,Benzine,874
1990-08-08,Benzine,875
1990-08-16,Benzine,876
1990-08-16,Diesel,24
1990-08-17,Benzine,877
1990-08-23,Benzine,878
1990-08-24,Diesel,25
1990-08-24,Benzine,880
1990-08-25,LPG,21
1990-08-28,Benzine,881
1990-08-31,Benzine,883
1990-09-01,Benzine,884
1990-09-03,Benzine,886
1990-09-06,Benzine,887
1990-09-10,Benzine,888
1990-09-11,Benzine,890
1990-09-14,Diesel,26
1990-09-18,Benzine,891
1990-09-20,Benzine,893
1990-09-22,Benzine,894
1990-09-28,Benzine,897
1990-10-03,Benzine,898
1990-10-04,Benzine,899
1990-10-05,Benzine,900
1990-10-08,Benzine,902
1990-10-10,Benzine,904
1990-10-12,Benzine,905
1990-10-13,Benzine,906
1990-10-15,Benzine,907
1990-10-19,Diesel,27
1990-10-24,Benzine,908
1990-10-25,Benzine,909
1990-10-26,Benzine,910
1990-10-27,Benzine,911
1990-10-29,Benzine,912
1990-10-31,Benzine,913
1990-11-01,Benzine,915
1990-11-05,Benzine,916
1990-11-09,Benzine,917
1990-11-14,Benzine,918
1990-11-16,Benzine,920
1990-11-17,Benzine,921
1990-11-19,Benzine,922
1990-11-23,Benzine,923
1990-11-24,Benzine,924
1990-11-26,Benzine,925
1990-11-29,Benzine,927
1990-11-30,Benzine,929
1990-12-01,Benzine,931
1990-12-05,Diesel,28
1990-12-07,Benzine,933
1990-12-18,Benzine,934
1990-12-19,Benzine,935
1990-12-24,Diesel,29
1990-12-27,Benzine,937
1990-12-28,Benzine,940
1991-01-04,Benzine,942
1991-01-08,Benzine,943
1991-01-11,Benzine,944
1991-01-18,Diesel,30
1991-01-18,Benzine,946
1991-01-19,Benzine,947
1991-01-21,Benzine,949
1991-01-23,Benzine,951
1991-01-24,Benzine,952
1991-01-26,Benzine,953
1991-01-31,Benzine,955
1991-02-04,Benzine,956
1991-02-06,Benzine,957
1991-02-08,Benzine,958
1991-02-11,Benzine,959
1991-02-13,Benzine,960
1991-02-16,Benzine,961
1991-02-21,Benzine,962
1991-02-22,Benzine,963
1991-02-26,Diesel,31
1991-02-26,Benzine,964
1991-03-05,Benzine,966
1991-03-06,Benzine,968
1991-03-11,Benzine,969
1991-03-18,Benzine,970
1991-03-19,Diesel,32
1991-03-21,Benzine,971
1991-03-25,Benzine,972
1991-03-28,Benzine,973
1991-03-29,Benzine,974
1991-04-08,Benzine,975
1991-04-10,Benzine,977
1991-04-11,Benzine,979
1991-04-15,Benzine,981
1991-04-16,Benzine,982
1991-04-17,Benzine,983
1991-04-19,Benzine,984
1991-04-22,Benzine,987
1991-04-25,Diesel,33
1991-04-25,Benzine,988
1991-04-26,Benzine,990
1991-04-29,Benzine,991
1991-05-02,Benzine,992
1991-05-03,Benzine,993
1991-05-07,Benzine,994
1991-05-08,Diesel,34
1991-05-13,Diesel,35
1991-05-14,Benzine,996
1991-05-16,Benzine,997
1991-05-17,Diesel,36
1991-05-18,Benzine,998
1991-05-21,Benzine,1000
1991-05-23,Benzine,1001
1991-05-24,Benzine,1002
1991-05-25,Benzine,1003
1991-05-27,Benzine,1005
1991-05-31,Benzine,1007
1991-06-04,Benzine,1008
1991-06-05,Benzine,1011
1991-06-06,Benzine,1014
1991-06-07,Benzine,1015
1991-06-12,Benzine,1016
1991-06-13,Benzine,1017
1991-06-14,Benzine,1018
1991-06-21,Benzine,1019
1991-06-26,Benzine,1020
1991-06-28,Diesel,37
1991-06-28,Benzine,1021
1991-07-01,Benzine,1023
1991-07-04,Benzine,1024
1991-07-05,Benzine,1025
1991-07-09,Benzine,1026
1991-07-11,Benzine,1027
1991-07-12,Benzine,1028
1991-07-12,Diesel,38
1991-07-16,Benzine,1029
1991-07-18,Benzine,1030
1991-07-19,Benzine,1031
1991-07-22,Benzine,1032
1991-07-23,Benzine,1033
1991-07-26,Benzine,1034
1991-07-30,Benzine,1035
1991-08-03,Benzine,1036
1991-08-06,Benzine,1037
1991-08-08,Benzine,1038
1991-08-09,Benzine,1040
1991-08-10,Benzine,1041
1991-08-14,Benzine,1043
1991-08-16,Benzine,1044
1991-08-17,Benzine,1045
1991-08-20,Benzine,1046
1991-08-27,Benzine,1047
1991-08-28,LPG,22
1991-09-02,Benzine,1049
1991-09-03,Benzine,1050
1991-09-06,Benzine,1051
1991-09-09,Benzine,1052
1991-09-10,Benzine,1053
1991-09-16,Benzine,1054
1991-09-21,Benzine,1055
1991-09-23,Benzine,1056
1991-09-25,Benzine,1057
1991-09-25,Diesel,39
1991-09-26,Benzine,1058
1991-09-27,Benzine,1059
1991-09-28,Benzine,1060
1991-10-01,Benzine,1061
1991-10-01,Diesel,40
1991-10-02,Benzine,1062
1991-10-05,Benzine,1063
1991-10-07,Benzine,1066
1991-10-09,LPG,23
1991-10-10,Benzine,1067
1991-10-11,Benzine,1068
1991-10-14,Diesel,41
