Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2012-06-15,1,1,1,1,1
2012-06-23,1,1,1,1,1
2012-06-28,1,1,1,1,1
2012-06-29,1,1,1,1,1
2012-07-05,1,1,1,1,1
2012-07-13,1,1,1,1,1
2012-07-14,1,1,1,1,1
2012-07-18,1,1,1,1,1
2012-07-19,1,1,1,1,1
2012-07-20,1,1,1,1,1
2012-07-26,1,1,1,1,1
2012-07-28,1,1,1,1,1
2012-08-03,1,1,1,1,1
2012-08-09,1,1,1,1,1
2012-08-15,1,1,1,1,1
2012-08-17,1,1,1,1,1
2012-08-18,2,2,2,2,2
2012-08-22,1,1,1,1,1
2012-08-31,1,1,1,1,1
2012-09-07,1,1,1,1,1
2012-09-08,1,1,1,1,1
2012-09-13,1,1,1,1,1
2012-09-14,1,1,1,1,1
2012-09-18,1,1,1,1,1
2012-09-28,1,1,1,1,1
2012-09-29,1,1,1,1,1
2012-10-05,1,1,1,1,1
2012-10-13,3,3,3,3,3
2012-10-19,1,1,1,1,1
2012-10-24,1,1,1,1,1
2012-10-29,1,1,1,1,1
2012-11-07,1,1,1,1,1
2012-11-09,1,1,1,1,1
2012-11-10,1,1,1,1,1
2012-11-15,1,1,1,1,1
2012-11-16,1,1,1,1,1
2012-11-17,1,1,1,1,1
2012-11-22,1,1,1,1,1
2012-11-30,1,1,1,1,1
2012-12-03,1,1,1,1,1
2012-12-15,1,1,1,1,1
2012-12-21,1,1,1,1,1
2012-12-31,1,1,1,1,1
2013-01-11,1,1,1,1,1
2013-01-15,1,1,1,1,1
2013-01-17,1,1,1,1,1
2013-01-18,2,2,2,2,2
2013-01-23,1,1,1,1,1
2013-01-25,1,1,1,1,1
2013-01-26,1,1,1,1,1
2013-02-02,1,1,1,1,1
2013-02-22,1,1,1,1,1
2013-02-25,2,2,2,2,2
2013-02-27,1,1,1,1,1
2013-03-02,2,2,2,2,2
2013-03-13,1,1,1,1,1
2013-03-14,3,3,3,3,3
2013-03-22,3,3,3,3,3
2013-03-23,2,2,2,2,2
2013-03-29,1,1,1,1,1
2013-03-30,1,1,1,1,1
2013-04-05,1,1,1,1,1
2013-04-11,2,2,2,2,2
2013-04-12,1,1,1,1,1
2013-04-18,1,1,1,1,1
2013-04-19,1,1,1,1,1
2013-04-27,1,1,1,1,1
2013-05-08,1,1,1,1,1
2013-05-10,2,2,2,2,2
2013-05-14,1,1,1,1,1
2013-05-18,1,1,1,1,1
2013-05-22,1,1,1,1,1
2013-06-07,2,2,2,2,2
2013-06-08,1,1,1,1,1
2013-06-20,1,1,1,1,1
2013-06-22,3,3,3,3,3
2013-06-26,1,1,1,1,1
2013-06-28,1,1,1,1,1
2013-07-04,1,1,1,1,1
2013-07-08,1,1,1,1,1
2013-07-11,1,1,1,1,1
2013-07-17,1,1,1,1,1
2013-07-24,1,1,1,1,1
2013-08-02,1,1,1,1,1
2013-08-05,1,1,1,1,1
2013-08-09,2,2,2,2,2
2013-08-20,1,1,1,1,1
2013-08-21,1,1,1,1,1
2013-08-22,1,1,1,1,1
2013-08-26,1,1,1,1,1
2013-08-27,1,1,1,1,1
2013-08-29,1,1,1,1,1
2013-08-30,1,1,1,1,1
2013-09-05,2,2,2,2,2
2013-09-07,1,1,1,1,1
2013-09-12,1,1,1,1,1
2013-09-13,2,2,2,2,2
2013-09-14,2,2,2,2,2
2013-09-19,1,1,1,1,1
2013-09-20,1,1,1,1,1
2013-09-26,2,2,2,2,2
2013-09-27,1,1,1,1,1
2013-10-08,1,1,1,1,1
2013-10-17,1,1,1,1,1
2013-10-18,1,1,1,1,1
2013-10-29,1,1,1,1,1
2013-10-31,1,1,1,1,1
2013-11-02,1,1,1,1,1
2013-11-09,2,2,2,2,2
2013-11-11,1,1,1,1,1
2013-11-13,1,1,1,1,1
2013-11-16,1,1,1,1,1
2013-11-21,2,2,2,2,2
2013-11-23,1,1,1,1,1
2013-11-29,1,1,1,1,1
2013-12-04,1,1,1,1,1
2013-12-05,1,1,1,1,1
2013-12-06,1,1,1,1,1
2013-12-07,2,2,2,2,2
2013-12-10,1,1,1,1,1
2013-12-16,1,1,1,1,1
2013-12-18,1,1,1,1,1
2013-12-20,1,1,1,1,1
2013-12-23,1,1,1,1,1
2013-12-27,1,1,1,1,1
2013-12-30,2,2,2,2,2
2014-01-10,1,1,1,1,1
2014-01-11,1,1,1,1,1
2014-01-14,1,1,1,1,1
2014-01-15,1,1,1,1,1
2014-01-18,1,1,1,1,1
2014-01-24,2,2,2,2,2
2014-01-28,1,1,1,1,1
2014-01-31,1,1,1,1,1
2014-02-06,1,1,1,1,1
2014-02-10,1,1,1,1,1
2014-02-12,1,1,1,1,1
2014-02-14,1,1,1,1,1
2014-02-19,1,1,1,1,1
2014-02-20,1,1,1,1,1
2014-02-24,1,1,1,1,1
2014-02-27,1,1,1,1,1
2014-02-28,1,1,1,1,1
2014-03-08,2,2,2,2,2
2014-03-14,2,2,2,2,2
2014-03-15,1,1,1,1,1
2014-03-26,2,2,2,2,2
2014-03-29,1,1,1,1,1
2014-04-01,1,1,1,1,1
2014-04-03,1,1,1,1,1
2014-04-04,1,1,1,1,1
2014-04-11,1,1,1,1,1
2014-04-18,1,1,1,1,1
2014-04-23,1,1,1,1,1
2014-05-12,2,2,2,2,2
2014-05-17,1,1,1,1,1
2014-05-21,2,2,2,2,2
2014-05-30,1,1,1,1,1
2014-06-04,1,1,1,1,1
2014-06-07,2,2,2,2,2
2014-06-20,2,2,2,2,2
2014-06-21,1,1,1,1,1
2014-06-24,1,1,1,1,1
2014-06-28,2,2,2,2,2
2014-07-01,1,1,1,1,1
2014-07-05,1,1,1,1,1
2014-07-07,2,2,2,2,2
2014-07-08,1,1,1,1,1
2014-07-16,2,2,2,2,2
2014-07-21,1,1,1,1,1
2014-08-14,1,1,1,1,1
2014-08-16,1,1,1,1,1
2014-08-20,1,1,1,1,1
2014-08-21,1,1,1,1,1
2014-08-23,1,1,1,1,1
2014-09-06,3,3,3,3,3
2014-09-10,1,1,1,1,1
2014-09-20,1,1,1,1,1
2014-09-25,2,2,2,2,2
2014-09-26,2,2,2,2,2
2014-09-27,1,1,1,1,1
2014-10-01,1,1,1,1,1
2014-10-03,1,1,1,1,1
2014-10-06,1,1,1,1,1
2014-10-10,1,1,1,1,1
2014-10-11,1,1,1,1,1
2014-10-13,1,1,1,1,1
2014-10-16,1,1,1,1,1
2014-10-24,1,1,1,1,1
2014-10-25,1,1,1,1,1
2014-11-04,1,1,1,1,1
2014-11-05,1,1,1,1,1
2014-11-14,1,1,1,1,1
2014-11-19,1,1,1,1,1
2014-11-26,1,1,1,1,1
2014-12-11,1,1,1,1,1
2014-12-13,1,1,1,1,1
2014-12-22,1,1,1,1,1
2014-12-23,1,1,1,1,1
2014-12-24,1,1,1,1,1
2014-12-27,1,1,1,1,1
2014-12-29,1,1,1,1,1
2015-01-07,1,1,1,1,1
2015-01-10,2,2,2,2,2
2015-01-12,1,1,1,1,1
2015-01-13,1,1,1,1,1
2015-01-16,1,1,1,1,1
2015-01-20,1,1,1,1,1
2015-01-21,1,1,1,1,1
2015-01-24,1,1,1,1,1
2015-01-31,4,4,4,4,4
2015-02-03,1,1,1,1,1
2015-02-04,1,1,1,1,1
2015-02-06,2,2,2,2,2
2015-02-09,1,1,1,1,1
2015-02-11,2,2,2,2,2
2015-02-13,1,1,1,1,1
2015-02-14,1,1,1,1,1
2015-02-18,1,1,1,1,1
2015-02-19,1,1,1,1,1
2015-02-20,1,1,1,1,1
2015-03-05,1,1,1,1,1
2015-03-06,2,2,2,2,2
2015-03-11,1,1,1,1,1
2015-03-12,1,1,1,1,1
2015-03-13,2,2,2,2,2
2015-03-16,1,1,1,1,1
2015-03-28,2,2,2,2,2
2015-04-03,1,1,1,1,1
2015-04-08,2,2,2,2,2
2015-04-14,1,1,1,1,1
2015-04-16,1,1,1,1,1
2015-04-20,1,1,1,1,1
2015-04-22,2,2,2,2,2
2015-04-25,1,1,1,1,1
2015-04-28,1,1,1,1,1
2015-04-30,1,1,1,1,1
2015-05-04,1,1,1,1,1
