Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2011-07-11,4,4,4,4,4
2011-07-12,1,1,1,1,1
2011-07-20,2,2,2,2,2
2011-07-26,5,5,5,5,5
2011-07-27,3,3,3,3,3
2011-07-29,1,1,1,1,1
2011-08-04,1,1,1,1,1
2011-08-10,1,1,1,1,1
2011-08-11,1,1,1,1,1
2011-08-17,1,1,1,1,1
2011-09-02,1,1,1,1,1
2011-09-14,1,1,1,1,1
2011-09-23,1,1,1,1,1
2011-09-28,2,2,2,2,2
2011-10-03,1,1,1,1,1
2011-10-06,1,1,1,1,1
2011-10-11,1,1,1,1,1
2011-10-13,5,5,5,5,5
2011-10-14,1,1,1,1,1
2011-10-18,1,1,1,1,1
2011-10-19,1,1,1,1,1
2011-10-20,1,1,1,1,1
2011-10-21,1,1,1,1,1
2011-10-26,1,1,1,1,1
2011-10-31,3,3,3,3,3
2011-11-03,1,1,1,1,1
2011-11-07,2,2,2,2,2
2011-11-08,3,3,3,3,3
2011-11-10,1,1,1,1,1
2011-11-17,1,1,1,1,1
2011-11-23,4,4,4,4,4
2011-11-28,1,1,1,1,1
2011-11-29,1,1,1,1,1
2011-12-08,3,3,3,3,3
2011-12-09,4,4,4,4,4
2011-12-19,1,1,1,1,1
2011-12-20,3,3,3,3,3
2011-12-21,1,1,1,1,1
2011-12-22,1,1,1,1,1
2011-12-27,3,3,3,3,3
2011-12-29,1,1,1,1,1
2012-01-05,1,1,1,1,1
2012-01-09,1,1,1,1,1
2012-01-10,4,4,4,4,4
2012-01-17,3,3,3,3,3
2012-01-24,1,1,1,1,1
2012-01-25,3,3,3,3,3
2012-01-27,1,1,1,1,1
2012-02-01,1,1,1,1,1
2012-02-06,3,3,3,3,3
2012-02-10,1,1,1,1,1
2012-02-16,1,1,1,1,1
2012-02-17,1,1,1,1,1
2012-02-22,2,2,2,2,2
2012-02-24,1,1,1,1,1
2012-02-25,1,1,1,1,1
2012-02-28,2,2,2,2,2
2012-02-29,3,3,3,3,3
2012-03-07,1,1,1,1,1
2012-03-09,6,6,6,6,6
2012-03-13,3,3,3,3,3
2012-03-14,1,1,1,1,1
2012-03-15,4,4,4,4,4
2012-03-19,3,3,3,3,3
2012-03-21,1,1,1,1,1
2012-03-22,9,9,9,9,9
2012-03-26,1,1,1,1,1
2012-03-27,2,2,2,2,2
2012-03-30,2,2,2,2,2
2012-04-03,4,4,4,4,4
2012-04-11,1,1,1,1,1
2012-04-13,1,1,1,1,1
2012-04-16,4,4,4,4,4
2012-04-17,1,1,1,1,1
2012-04-18,1,1,1,1,1
2012-04-24,3,3,3,3,3
2012-05-02,1,1,1,1,1
2012-05-04,1,1,1,1,1
2012-05-07,1,1,1,1,1
2012-05-10,3,3,3,3,3
2012-05-11,2,2,2,2,2
2012-05-22,1,1,1,1,1
2012-05-24,1,1,1,1,1
2012-05-25,3,3,3,3,3
2012-06-01,2,2,2,2,2
2012-06-04,1,1,1,1,1
2012-06-06,1,1,1,1,1
2012-06-12,1,1,1,1,1
2012-06-21,1,1,1,1,1
2012-06-25,1,1,1,1,1
2012-06-27,1,1,1,1,1
2012-06-29,2,2,2,2,2
2012-07-04,1,1,1,1,1
